year	usa	canada	japan	france	germany	italy	uk	brasil
1997	100	87	140	109	110	92	116	62
1998	103	82	131	110	111	92	123	61
1999	102	82	146	104	104	88	120	41
2000	107	89	154	92	94	80	114	44
2001	113	89	139	92	94	82	112	38
2002	112	88	128	95	97	87	116	33
2003	104	91	125	109	105	98	118	33
2004	99	94	123	115	108	105	124	34
2005	99	99	116	112	107	105	127	43
2006	100	107	107	113	107	104	129	51
2007	97	109	99	118	111	107	137	57
2008	94	109	107	122	114	109	122	63
2009	99	104	121	119	112	106	109	64
2010	98	117	125	111	105	101	107	78
2011	96	120	129	112	105	101	108	84
2012	99	123	129	107	100	95	110	81
2013	102	121	106	110	105	100	111	81
2014	103	115	101	111	106	102	119	80
2015	114	111	97	102	98	93	120	68
2016	116	105	112	100	96	90	108	71
